id,nume,prenume,categorie,data_de_emitere,data_de_expirare,suspedat
1,Dumitrescu,Laura,C1,None,None,None
2,Popescu,Andrei,C1E,None,None,None
3,Tudor,Elena,BE,None,None,None
4,Vasile,Elena,D1E,None,None,None
5,Neagu,Alexandru,C1,None,None,None
6,Stoica,Raluca,C1,None,None,None
7,Petrescu,Laura,D1,None,None,None
8,Radu,Maria,B1,None,None,None
9,Stoica,Florin,D1,None,None,None
10,Marin,Ion,D,None,None,None
11,Popescu,Gabriel,B,None,None,None
12,Dumitrescu,Andrei,C1,None,None,None
13,Radu,Cristina,A1,None,None,None
14,Popa,Cristina,C1E,None,None,None
15,Neagu,Mihai,CE,None,None,None
16,Neagu,Andrei,D1E,None,None,None
17,Stan,Ana,A,None,None,None
18,Ionescu,Adrian,D,None,None,None
19,Stoica,Gabriel,B,None,None,None
20,Dumitrescu,Ioana,C1,None,None,None
21,Neagu,Maria,B1,None,None,None
22,Gheorghe,Adrian,A1,None,None,None
23,Ungureanu,Elena,DE,None,None,None
24,Marin,Maria,B1,None,None,None
25,Dumitrescu,Florin,D,None,None,None
26,Ionescu,Mihai,C1E,None,None,None
27,Gheorghe,Laura,DE,None,None,None
28,Vasile,Ion,D,None,None,None
29,Petrescu,Alexandru,C,None,None,None
30,Neagu,Ioana,CE,None,None,None
